	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
161582	40.93	29.06	37.32	75.11	64.34	44.25	19.97	57.89	38.67	23.42	31	23.93	25.54	66.18	57.08	46.84	52.08
161725	9.7	20.71	23.08	12.93	5.59	8.71	5.23	28.65	27.84	1.69	7.82	31.67	11.21	21.47	11.47	22.75	21.94
161742	214.27	237.86	180.02	99.43	143.01	82.29	56.68	138.1	212.78	96.01	224.97	780.44	287.01	287.01	155.5	239.52	223.41
161753	90.14	66.18	33.54	46.5	148.09	47.84	13.52	104.42	26.67	32.13	66.18	56.68	301.33	42.41	29.27	490.14	48.18
161779	31.67	18.03	19.39	21.63	41.52	18.29	15.45	29.91	36.53	11.55	11.3	8.32	21.94	18.97	25.72	21.47	35.76
161823	173.85	102.97	108.14	99.43	132.44	70.01	118.43	169.07	149.12	63.89	100.83	150.17	53.19	114.36	143.01	79.45	92.05
161829	0	4.31	0	0	0	0.34	0	0	0	0	0.36	0	0.35	0.37	0	0	0
161835	13.93	7.06	4.06	7.46	7.34	4.35	3.2	3.96	3.89	2.48	6.36	6.57	12.83	8.38	11.82	10.96	10.96
161882	28.04	18.56	46.5	111.99	102.97	70.01	37.85	89.51	16.51	63.45	65.72	12.74	95.34	73.54	30.34	95.34	101.54
161931	2.68	4.03	14.67	77.79	49.56	85.22	100.13	13.52	0	59.55	32.82	7.94	42.41	24.63	3.99	22.43	55.89
162073	325.29	429.54	167.9	297.17	866.07	205.5	236.21	289.02	361.04	205.5	283.05	301.33	218.79	447.82	351.14	264.03	521.76
162239	205.5	149.12	165.57	127.89	166.73	73.03	84.04	143.01	148.09	69.52	80.01	64.8	83.45	178.77	208.38	99.43	152.28
162282	3.56	3.59	10.63	78.34	14.45	13.12	1.23	18.97	7.88	2.12	7.88	0.92	40.36	13.22	3.56	36.79	95.34
162333	0.45	0	0	5.73	16.39	3.03	0	0.82	4.31	10.63	2.48	0	1.77	10.16	0	2.36	6.94
162387	0	2.68	8.58	96.01	26.67	49.21	10.79	19.68	1.33	7.06	6.78	0.46	25.72	12.45	1.79	22.26	27.05
162394	186.4	162.14	275.28	255	291.04	351.14	217.27	221.86	348.71	96.01	231.32	371.22	133.36	447.82	182.55	371.22	575.03
162417	14.45	3.11	15	35	36.79	18.03	9.56	16.15	5.23	12.74	38.67	2.66	13.32	19.68	0.91	12.18	18.7
162427	480.04	395.18	620.67	1066.48	1259.69	743.43	733.19	698.41	559.28	543.96	543.96	217.27	329.84	764.36	518.15	674.59	1023
162461	9.7	14.14	49.21	129.69	194.36	147.06	40.64	48.87	0	60.82	108.9	1.79	88.88	113.56	0.92	54.72	38.95
162466	2.23	4.86	2.86	6.46	11.38	7.34	2.81	9.06	25.17	15.56	32.82	7	4.9	5.87	2.66	3.96	10.96
162494	135.24	41.52	79.45	15.34	10	7.11	6.89	56.68	77.25	7.94	16.39	103.69	10.24	30.12	8	15.45	19.97
162514	7.06	4.94	7.82	22.75	6.67	11.13	38.12	17.51	7.4	15.68	17	5.77	98.73	14.67	7.51	58.71	47.5
162515	2.23	9.78	23.25	69.52	9.27	37.32	34.51	17.38	4.35	16.88	21.94	10.96	17.9	12.45	1.79	51.35	8.51
162517	1.33	10.96	3.26	3.41	3.69	8.99	4.39	3.17	7.75	10.24	6.67	1.33	2.12	15.22	3.53	9.34	2.58
162605	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0.73	0	0	0
162655	101.54	108.9	144.01	43.32	41.81	25.91	54.33	131.51	199.85	21.16	41.22	162.14	8.58	101.54	119.26	48.87	81.14
162681	56.28	20.71	30.78	14.89	64.8	10.71	12.74	25.91	33.54	14.35	11.3	13.12	6.01	49.56	18.43	22.26	20.11
162699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0
162962	92.7	50.98	206.94	285.03	212.78	170.25	122.64	204.07	211.31	180.02	164.42	100.83	167.9	154.42	111.99	187.71	185.11
162963	33.3	26.47	45.53	102.97	28.24	30.12	6.06	57.89	40.07	5.45	17.38	16.75	5.32	81.14	45.85	26.67	65.26
162966	45.85	43.63	89.51	271.48	275.28	182.55	128.79	220.32	60.39	155.5	89.51	43.94	163.28	84.04	55.89	190.34	137.14
162967	194.36	180.02	242.88	647.07	316.37	277.2	90.77	329.84	223.41	86.43	170.25	148.09	176.29	293.07	190.34	320.8	981.29
162968	7.94	3.56	6.94	42.41	19.39	17.64	34.51	17	12.09	7.88	14.14	3.11	5.28	28.45	6.62	15.68	30.34
162972	57.89	60.82	104.42	137.14	48.87	70.01	42.71	76.71	87.03	38.95	63.89	35.5	81.71	84.63	73.54	50.27	96.68
162979	3.53	4.46	21.94	98.04	165.57	146.03	341.51	26.1	4.35	46.5	161.02	4.43	39.5	78.34	5.73	23.59	69.03
162989	287.01	339.14	536.45	813.63	1051.79	819.3	480.04	693.58	358.54	547.75	854.13	119.26	928.3	591.22	371.22	921.88	656.11
